Student Information System,Error Type,File Type,Data Element,Data Dictionary Element Value,Error Description,Info 1,Info 2,Solution
Banner,Syntactical,SX,SX04,FW,DROP DATE CAN ONLY BE REPORTED FOR DROPS AND WITHDRAWS,,,Observational equivalent to an F grade - must have last date of attendance  - linked with a 888888 in SX02 - insert date there
Banner,Syntactical,SX,SX04,EW,DROPS AND WITHDRAWS MUST HAVE A VALID DROP DATE       ,,,Excused withdraw - linked with SX02 888888 - check with A&R to insert a valid date
Banner,Quality,SE,STD7,,MORE THAN 12% OF EOPS STUDENTS DO NOT HAVE AN ENROLLMENT RECORD.,,,Check and make sure you submitted a CC (College Calendar) file. If not - do it - then check back a day later after the file has been accepted (it takes the night to process). Side Note: records for EOPS count if the student registered for classes and attended the orientation - if you see students who registered but later dropped or withdrew - they still count - Check EOPS Guidance Manual for details.
Banner,Quality,SX,SXD1,,MORE THAN 50% OF CREDIT ENROLLMENTS ARE NOT ACTIVE AS OF 1ST CENSUS.,,,Check XF01/XF02 elements (derived from XBD5) derived from SXD1 - make sure there aren't too many 99999's to see if about half or more are like this - if so - these are likely Internet classes that didn't get dates updated in Banner - SSASECT to check - they may not have session or meeting times which is what is causing the error. To solve inform the college class scheduler to input the dates (XF01) from 999999 to start of term - and XF02 to end of term date and the quality error went away. 
Banner,Quality,SX,SXD1,,MORE THAN 50% OF CREDIT ENROLLMENTS ARE NOT ACTIVE AS OF 1ST CENSUS.,,,Check and make sure you submitted a CC (College Calendar) file. If not - do it - then check back a day later after the file has been accepted (it takes the night to process).
Banner,Quality,SS,SS01,,"MORE THAN 25% OF CREDIT STUDENTS HAVE ""UNDECIDED"" GOALS",,,Look up SS01 in DED - speak with Counceling about updating processes for ed goals and students - issue is too many undecided - workaround request counceling update values to an acceptable alternative such as  J (pursue educational development)
Banner,Syntactical,XB,XB01,,WSCH SHOULD BE ENTERED FOR W AND L ACCOUNTING METHODS ONLY,,,Paired Error: Linked with XB11 - Check for 000000 hours in the weekly contact hours - Banner Form SSASECT
Banner,Syntactical,XB,XB11,,WSCH SHOULD BE ENTERED FOR W AND L ACCOUNTING METHODS ONLY  ,,,Paired Error: Linked with XB01 - IF XB11 is 000000 hours in the weekly contact hours - needs hours for accounting method W or L else XB11 should be 888888 - Banner Form SSASECT
Banner,Syntactical,XF,XF07,00000,SESSION HOURS MUST BE GREATER THAN ZERO ,5076,CCC000602579,"Found total contact hours were not entered properly for this CRN. If multiple CRNs with same error - make a list - send to instruction for correction - Banner form SSASECT -> Meeting Times and Instructor - Meeting Times and Instructors - ""Meeting Location and Credits"""
Banner,Syntactical,XF,XF01,72,ONLY IND. STUDY OR WORK/FIELD EXP. CAN HAVE UNKNOWN TOTAL HOURS     ,5192,CCC000602579,"Paired Error: Found total contact hours were not entered properly for this CRN. If multiple CRNs with same error - make a list - send to instruction for correction - Banner form SSASECT -> Meeting Times and Instructor - Meeting Times and Instructors - ""Meeting Location and Credits"""
Banner,Syntactical,XF,XF07,99999,ONLY IND. STUDY OR WORK/FIELD EXP. CAN HAVE UNKNOWN TOTAL HOURS,5192,CCC000602579,"Paired Error: Found total contact hours were not entered properly for this CRN. If multiple CRNs with same error - make a list - send to instruction for correction - Banner form SSASECT -> Meeting Times and Instructor - Meeting Times and Instructors - ""Meeting Location and Credits"""
Banner,Syntactical,XE,XE03,12000,INVALID VALUE,7206,CCC000554544,"Cannot be greater then 100.00 - SIAASGN>Faculty Assignment>""Calculated Workload"""
Banner,Syntactical,EB,EB07,,INVALID VALUE,SSN/Snumber,,When EB07/EB09/EB11 have empty values - root cause is - No Primary Jobs for the employee in NBAJOBS - if this is done after a payperiod is over (typically Fall reports if running EB in January) - you need to extend the term end date when running EB to capture the new effective date in Banner from the new primary job. Solution is email HR the list - and have them create a primary job for all employees.
Banner,Syntactical,EB,EB09,,INVALID VALUE,SSN/Snumber,,When EB07/EB09/EB11 have empty values - root cause is - No Primary Jobs for the employee in NBAJOBS - if this is done after a payperiod is over (typically Fall reports if running EB in January) - you need to extend the term end date when running EB to capture the new effective date in Banner from the new primary job. Solution is email HR the list - and have them create a primary job for all employees.
Banner,Syntactical,EB,EB11,,INVALID VALUE,SSN/Snumber,,When EB07/EB09/EB11 have empty values - root cause is - No Primary Jobs for the employee in NBAJOBS - if this is done after a payperiod is over (typically Fall reports if running EB in January) - you need to extend the term end date when running EB to capture the new effective date in Banner from the new primary job. Solution is email HR the list - and have them create a primary job for all employees.
Banner,Syntactical,EB,EB07,2,EEO6 AND EMPLOYMENT CLASS MUST AGREE,,,Paired Error: If EB07 is 2 - EB08 can only be C - R- T - Banner Form PEAEMPL - Employee Group
Banner,Syntactical,EB,EB08,P,EEO6 AND EMPLOYMENT CLASS MUST AGREE,,,Paired Error: If EB08 is P - EB07 can only be 1 - 3 -4 - 5 - 6 - 7- 8 - Banner Form PEAEMPL - Employee Group
